ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Checked Shirt,8134447923416,"2,981",357,118.66,476,"3,425",7.20,6.27,537,45,5,8.38,11.11,0.93,"3,280",164,5.00,2.18,"3,612",42,1.16,2.83,0,3,0.03,,,,,,,,,,"1,404",13.89,41.00,6,2.44,2.12,15.96,47.11,79,234,95,281
Men Checked Shirt,8140554109144,"1,381",216,3.67,220,727,3.31,6.29,153,14,2,9.15,14.29,1.31,"2,050",89,4.34,2.43,625,1,0.16,3.67,0,0,,,,,,,,,,,387,30.22,53.18,2,1.88,3.57,15.91,27.99,110,193,110,193
Men Solid Shirt,8162520105176,"8,528","1,269",87.76,"1,356","7,944",5.86,6.29,630,52,12,8.25,23.08,1.90,"17,627",367,2.08,3.46,"2,556",19,0.74,4.62,0,0,,,,,,,,,,,"1,615",17.07,20.33,13,4.92,5.28,15.90,18.94,104,124,113,135
Men Solid Shirt,8134365872344,"6,398","1,005",11.68,"1,017","6,401",6.30,6.29,553,39,9,7.05,23.08,1.63,"10,135",356,3.51,2.82,"1,096",2,0.18,5.84,0,0,,,,,,,,,,,"1,369",15.88,21.39,10,4.68,4.67,15.89,21.40,102,137,113,152
Men Striped Trouser,8248346738904,727,115,,115,691,5.99,6.31,89,3,1,3.37,33.33,1.12,"1,337",56,4.19,2.06,0,0,,,0,0,,,,,,,,,,,216,16.69,31.26,1,3.20,3.37,15.86,29.70,115,216,115,216
Men Checked Shirt,8149925691608,"6,148",738,235.33,973,"6,614",6.80,6.32,530,48,10,9.06,20.83,1.89,"7,252",315,4.34,2.34,"40,928",71,0.17,3.31,0,440,1.87,,,,,,,,,,"1,364",14.71,20.63,11,4.85,4.51,15.83,22.19,88,124,97,136
Men Striped Shirt,8134402867416,"4,991",787,3.12,790,"5,669",7.18,6.32,910,43,7,4.73,16.28,0.77,"9,419",331,3.51,2.38,124,1,0.81,3.12,0,0,,,,,,,,,,,"2,251",13.93,39.70,9,2.52,2.22,15.83,45.10,88,250,113,322
Men Solid Jeans,8149751693528,639,101,,101,639,6.33,6.33,42,3,1,7.14,33.33,2.38,710,23,3.24,4.39,30,0,,,0,0,,,,,,,,,,,108,15.81,16.92,1,5.91,5.91,15.81,16.92,101,108,101,108
Men Casual Cuffed Cargo Pant,8136710717656,"22,350","3,527",5.04,"3,532","23,192",6.57,6.33,"1,368",113,31,8.26,27.43,2.27,"34,092",996,2.92,3.54,646,2,0.31,2.52,0,0,,,,,,,,,,,"3,525",15.23,15.20,35,6.58,6.34,15.80,15.77,101,101,114,114
Mens Solid Slim Fit Shirt,8136714354904,559,85,2.53,87,559,6.39,6.39,146,4,1,2.74,25.00,0.68,687,22,3.20,3.86,855,0,,,0,0,,,,,,,,,,,368,15.65,65.81,1,1.52,1.52,15.65,65.81,87,368,87,368
