ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Casual Shirt,8140538478808,"1,739",179,15.87,195,"1,711",8.77,8.91,196,20,3,10.20,15.00,1.53,"1,706",81,4.75,2.21,761,7,0.92,2.27,0,0,,,,,,,,,,,496,11.41,29.00,4,3.45,3.50,11.22,28.54,49,124,65,165
Men Striped Shirt,8134402769112,"6,481",694,31.74,726,"7,044",9.70,8.93,488,41,9,8.40,21.95,1.84,"6,559",329,5.02,2.11,"3,799",15,0.39,2.12,0,0,,,,,,,,,,,"1,239",10.30,17.58,10,5.69,5.23,11.20,19.11,73,124,81,138
Men Solid Jeans,8140535365848,"7,823",810,58.25,868,"7,752",8.93,9.01,573,62,11,10.82,17.74,1.92,"11,708",235,2.01,3.45,"7,343",10,0.14,5.83,0,0,,,,,,,,,,,"1,477",11.20,19.06,12,5.25,5.29,11.10,18.89,72,123,79,134
Men Solid Cuffed Cargo Pant,8140546310360,"2,058",216,12.81,228,"1,029",4.51,9.01,232,16,2,6.90,12.50,0.86,"1,350",74,5.48,2.91,"1,197",3,0.25,4.27,0,0,,,,,,,,,,,583,22.19,56.68,2,1.76,3.53,11.10,28.34,114,292,114,292
Men Striped Casual Shirt,8137694806232,621,69,,69,621,9.04,9.04,83,4,1,4.82,25.00,1.20,671,43,6.41,1.60,167,0,,,0,0,,,,,,,,,,,208,11.06,33.45,1,2.99,2.99,11.06,33.45,69,208,69,208
Men Striped Shirt,8140528189656,621,69,,69,590,8.59,9.05,54,5,1,9.26,20.00,1.85,400,34,8.50,2.02,59,0,,,0,0,,,,,,,,,,,139,11.64,23.61,1,4.24,4.46,11.05,22.43,69,139,69,139
Men Winter Jacket,8149758574808,"1,579",0,170.61,171,"1,579",9.26,9.26,58,2,1,3.45,50.00,1.72,0,0,,,"4,007",66,1.65,2.58,1,"1,659",9.72,,,,,,,,,,150,10.80,9.47,1,10.55,10.55,10.80,9.47,171,150,171,150
Men Solid Cuffed Cargo Pant,8140555256024,"2,161",222,8.00,230,"2,090",9.09,9.39,166,11,3,6.63,27.27,1.81,"1,944",99,5.09,2.24,886,4,0.45,2.00,0,0,,,,,,,,,,,448,11.01,21.45,3,4.66,4.82,10.65,20.74,77,149,77,149
Mens Floral Slim Fit Shirt,8136715600088,"8,197",713,152.35,866,"8,641",9.98,9.47,610,47,14,7.70,29.79,2.30,"10,051",212,2.11,3.36,"13,544",47,0.35,3.24,3,"3,536",23.21,,,,,,,,,,"1,557",10.02,18.02,15,5.55,5.27,10.56,18.99,58,104,62,111
Men Checked Shirt,8134455066840,621,65,,65,"1,242",18.98,9.49,52,5,1,9.62,20.00,1.92,608,23,3.78,2.84,79,0,,,0,0,,,,,,,,,,,133,5.27,10.73,2,9.32,4.66,10.54,21.46,33,67,65,133
Men Basic T-Shirt,8140555387096,"1,980",201,6.26,207,"1,955",9.43,9.55,327,36,4,11.01,11.11,1.22,"1,387",63,4.54,3.19,"2,024",2,0.10,3.13,0,0,,,,,,,,,,,842,10.61,43.04,4,2.32,2.35,10.47,42.50,52,210,52,210
Men Striped Shirt,8137695428824,"23,169","2,370",39.87,"2,410","25,472",10.57,9.62,"1,412",164,32,11.61,19.51,2.27,"22,097",889,4.02,2.67,"5,555",17,0.31,2.35,1,928,23.29,,,,,,,,,,"3,599",9.46,14.13,37,7.08,6.44,10.40,15.54,65,97,75,112
Men Dad Fit Jeans,8134415188184,834,0,85.96,86,834,9.68,9.68,65,2,1,3.08,50.00,1.54,4,0,,,"4,267",34,0.80,2.53,1,914,10.63,,,,,,,,,,172,10.33,20.58,1,4.86,4.86,10.33,20.58,86,172,86,172
Men Solid Relaxed Fit Denim Trucker Jacket,8401329586392,976,0,100.76,101,976,9.69,9.69,190,10,1,5.26,10.00,0.53,0,0,,,"1,933",24,1.24,4.20,0,0,,,,,,,,,,,509,10.32,52.18,1,1.92,1.92,10.32,52.18,101,509,101,509
Men Jogger Pant,8149897969880,"1,597",147,17.78,165,798,4.84,9.69,143,17,2,11.89,11.76,1.40,"1,547",84,5.43,1.75,"4,693",11,0.23,1.62,0,0,,,,,,,,,,,366,20.64,45.80,2,2.18,4.37,10.32,22.90,82,183,82,183
Men Checkered Shirt,8134358532312,687,71,0.24,71,652,9.21,9.70,51,2,1,3.92,50.00,1.96,610,27,4.43,2.61,235,0,,,0,0,,,,,,,,,,,135,10.86,20.64,2,4.85,5.10,10.31,19.61,35,67,71,135
Men Checked Shirt,8149765652696,"1,739",159,19.90,179,"1,180",6.59,9.72,197,14,3,7.11,21.43,1.52,"1,691",65,3.84,2.45,596,3,0.50,6.63,0,0,,,,,,,,,,,507,15.17,42.94,3,2.33,3.43,10.29,29.14,60,169,60,169
"Men Shorts, Men Five-Pocket Shorts",8134412730584,"1,246",110,18.73,128,"2,430",18.95,9.72,67,7,2,10.45,28.57,2.99,645,35,5.43,3.13,999,5,0.50,3.75,0,255,13.63,,,,,,,,,,173,5.28,7.14,4,14.01,7.18,10.29,13.92,32,43,64,87
Men Solid Shorts,8134461194456,"1,590",149,14.27,163,"2,613",16.02,9.75,87,14,3,16.09,21.43,3.45,"1,101",60,5.45,2.48,781,8,1.02,1.78,0,0,,,,,,,,,,,225,6.24,8.60,5,11.62,7.07,10.26,14.13,33,45,54,75
Men Denim Shorts,8149825618136,687,70,,70,652,9.28,9.77,27,2,1,7.41,50.00,3.70,653,20,3.06,3.51,"1,231",0,,,0,0,,,,,,,,,,,72,10.78,10.96,1,9.12,9.60,10.24,10.42,70,72,70,72
Men Solid Cuffed Cargo Pant,8140546212056,"4,939",486,16.83,503,"5,824",11.58,9.82,408,16,5,3.92,31.25,1.23,"3,274",157,4.80,3.10,"1,622",3,0.18,5.61,0,0,,,,,,,,,,,"1,051",8.64,18.04,6,5.54,4.70,10.18,21.27,84,175,101,210
Men Color Block Windcheater,8136358756568,887,0,90.22,90,887,9.83,9.83,47,2,1,4.26,50.00,2.13,0,0,,,"2,312",29,1.25,3.11,0,0,,,,,,,,,,,122,10.17,13.78,1,7.25,7.25,10.17,13.78,90,122,90,122
Men Solid Shirt,8162520039640,"1,246",124,2.66,126,"1,807",14.30,9.86,200,5,2,2.50,40.00,1.00,824,59,7.16,2.10,"1,368",1,0.07,2.66,0,0,,,,,,,,,,,505,6.99,27.93,3,3.58,2.47,10.14,40.50,42,168,63,252
Men Five Pocket Cargo Pant Pant,8149839970520,"1,889",188,3.00,191,"1,792",9.37,9.88,112,6,2,5.36,33.33,1.79,"1,092",43,3.94,4.38,30,1,3.33,3.00,0,0,,,,,,,,,,,287,10.67,16.01,2,6.25,6.58,10.12,15.19,96,143,96,143
Men Checkered Shirt,8134419513560,"1,677",132,37.51,170,"1,621",9.56,9.89,160,11,3,6.88,27.27,1.88,"1,564",64,4.09,2.06,"4,821",11,0.23,3.41,0,0,,,,,,,,,,,408,10.46,25.18,3,3.97,4.11,10.11,24.34,57,136,57,136
Men Quirky Printed Shirt,8134453297368,621,62,0.95,63,590,9.40,9.90,61,6,1,9.84,16.67,1.64,626,41,6.55,1.51,53,0,,,0,0,,,,,,,,,,,156,10.63,26.50,1,3.77,3.97,10.10,25.17,63,156,63,156
Men Checked Shirt,8134421217496,"9,936",992,6.01,998,"9,970",9.99,9.95,418,53,15,12.68,28.30,3.59,"10,019",279,2.78,3.56,588,4,0.68,1.50,0,0,,,,,,,,,,,"1,081",10.01,10.85,17,9.22,9.19,10.05,10.88,59,64,67,72
Men Printed Oversized Fit T-Shirt,8410957578456,585,4,55.11,59,585,9.96,9.96,71,3,1,4.23,33.33,1.41,53,0,,,"6,104",11,0.18,5.01,0,0,,,,,,,,,,,179,10.04,30.52,1,3.28,3.28,10.04,30.52,59,179,59,179
Men Solid Jeans,8134461751512,"8,236",812,1.00,813,"9,248",11.38,10.13,358,50,12,13.97,24.00,3.35,"5,497",231,4.20,3.51,707,0,,,0,0,,,,,,,,,,,948,8.79,10.26,14,9.75,8.68,9.87,11.52,58,68,68,79
Men Striped Shirt,8149883388120,479,41,6.29,47,960,20.38,10.16,77,11,1,14.29,9.09,1.30,221,14,6.33,2.92,281,3,1.07,2.10,0,0,,,,,,,,,,,202,4.91,21.07,2,4.75,2.37,9.84,42.26,24,101,47,202
Mens Striped Relaxed Fit Shirt,8476762472664,734,0,71.23,71,734,10.31,10.31,408,14,1,3.43,7.14,0.25,0,0,,,"15,276",29,0.19,2.46,0,0,,,,,,,,,,,"1,048",9.70,142.64,1,0.70,0.70,9.70,142.64,71,"1,048",71,"1,048"
Men Checked Shirt,8134358368472,"2,136",207,0.60,207,"2,754",13.30,10.31,149,17,3,11.41,17.65,2.01,"1,535",80,5.21,2.58,547,0,,,0,0,,,,,,,,,,,385,7.52,13.99,4,7.15,5.54,9.70,18.04,52,96,69,128
Men Checked Shirt,8140532875480,"1,118",103,5.00,108,"1,090",10.08,10.34,101,7,2,6.93,28.57,1.98,"1,096",46,4.20,2.24,"1,737",5,0.29,1.00,0,0,,,,,,,,,,,251,9.92,23.01,2,4.35,4.46,9.67,22.44,54,125,54,125
Mens Checked Slim Fit Shirt,8140516917464,"35,478","3,165",256.96,"3,422","35,692",10.43,10.37,"2,641",289,51,10.94,17.65,1.93,"114,342","2,372",2.07,1.33,"77,018",99,0.13,2.60,1,541,2.10,,,,,,,,,,"6,762",9.59,18.94,54,5.28,5.25,9.65,19.06,63,125,67,133
Men Striped Casual Shirt,8136716910808,559,53,0.95,54,559,10.38,10.38,391,10,1,2.56,10.00,0.26,521,18,3.45,2.94,643,0,,,0,0,,,,,,,,,,,997,9.64,178.40,1,0.56,0.56,9.64,178.40,54,997,54,997
Men Striped Shirt,8137695363288,"15,496","1,481",8.17,"1,489","15,071",10.12,10.41,"1,076",127,22,11.80,17.32,2.04,"21,948",637,2.90,2.32,705,5,0.71,1.63,0,0,,,,,,,,,,,"2,809",9.88,18.64,22,5.37,5.52,9.61,18.13,68,128,68,128
Men Checkered Shirt,8134390841560,"1,242",114,4.59,119,"1,211",10.17,10.43,112,22,2,19.64,9.09,1.79,"1,052",43,4.09,2.66,605,2,0.33,2.29,0,0,,,,,,,,,,,281,9.83,23.21,2,4.31,4.42,9.59,22.63,60,141,60,141
Men Bootcut Jeans,8214348726488,"3,302",247,67.93,315,"3,302",10.48,10.48,372,17,4,4.57,23.53,1.08,"1,343",80,5.96,3.09,"1,959",25,1.28,2.72,0,0,,,,,,,,,,,942,9.54,28.52,4,3.51,3.51,9.54,28.52,79,235,79,235
Men Striped Resort Wear Shirt,8313985335512,"2,360",225,,225,"3,453",15.35,10.49,77,9,4,11.69,44.44,5.19,"1,951",63,3.23,3.57,74,0,,,0,0,,,,,,,,,,,199,6.51,5.77,6,17.32,11.84,9.53,8.45,37,33,56,50
Mens Checked Slim Fit Shirt,8134381994200,"7,204",676,7.82,683,"7,828",11.45,10.54,615,46,12,7.48,26.09,1.95,"14,614",395,2.70,1.71,539,2,0.37,3.91,0,0,,,,,,,,,,,"1,578",8.73,20.16,14,4.96,4.56,9.49,21.91,49,113,57,132
Men Striped Chino Pants,8140547424472,887,82,1.75,84,887,10.54,10.54,130,5,1,3.85,20.00,0.77,504,44,8.73,1.87,459,1,0.22,1.75,0,0,,,,,,,,,,,336,9.49,37.91,1,2.64,2.64,9.49,37.91,84,336,84,336
Men Denim Jeans,8149940469976,"1,988",181,7.09,188,"1,214",6.45,10.56,103,10,3,9.71,30.00,2.91,"1,288",49,3.80,3.70,95,5,5.26,1.42,0,0,,,,,,,,,,,273,15.51,22.47,3,4.45,7.29,9.47,13.72,63,91,63,91
Men Checked Shirt,8134403195096,623,52,6.11,58,592,10.15,10.68,92,13,1,14.13,7.69,1.09,469,18,3.84,2.90,548,2,0.36,3.06,0,0,,,,,,,,,,,244,9.86,41.29,1,2.42,2.55,9.36,39.23,58,244,58,244
Men Winter Jacket,8134376030424,"2,626",0,244.40,244,"2,626",10.74,10.74,143,3,2,2.10,66.67,1.40,0,0,,,"10,762",120,1.12,2.04,1,"1,025",4.20,,,,,,,,,,366,9.31,13.92,2,7.18,7.18,9.31,13.93,122,183,122,183
Men Printed Shirt,8153517588696,590,55,,55,561,10.23,10.77,32,0,1,,,3.13,503,20,3.98,2.74,0,0,,,0,0,,,,,,,,,,,84,9.78,15.06,1,6.64,6.99,9.29,14.30,55,84,55,84
Men Slim Straight Fit Jeans,8136719958232,"2,471",215,13.99,229,"2,428",10.58,10.77,259,25,3,9.65,12.00,1.16,"2,280",142,6.23,1.52,"1,606",3,0.19,4.66,1,859,61.41,,,,,,,,,,659,9.45,27.13,3,3.69,3.75,9.29,26.66,76,220,76,220
Men Carpenter Jeans,8149861269720,798,64,9.74,74,758,10.27,10.81,155,3,1,1.94,33.33,0.65,377,24,6.37,2.67,"1,716",4,0.23,2.44,0,0,,,,,,,,,,,405,9.73,53.41,1,1.87,1.97,9.25,50.74,74,405,74,405
Men Checked Casual Shirt,8134455361752,"1,863",172,,172,"1,863",10.85,10.85,172,12,3,6.98,25.00,1.74,"1,314",76,5.78,2.26,0,0,,,0,0,,,,,,,,,,,443,9.22,23.80,3,4.20,4.20,9.22,23.80,57,148,57,148
Men Solid Shirt,8162520203480,"1,181",104,4.00,108,"1,151",10.67,10.95,127,9,2,7.09,22.22,1.57,769,56,7.28,1.85,490,3,0.61,1.33,0,0,,,,,,,,,,,331,9.37,28.75,2,3.48,3.57,9.14,28.04,54,166,54,166
Men Solid Jeans,8134461882584,"1,349",56,66.50,122,"1,314",10.73,11.02,142,16,2,11.27,12.50,1.41,588,32,5.44,1.75,"5,133",27,0.53,2.46,1,679,10.21,,,,,,,,,,362,9.32,27.60,2,3.62,3.72,9.08,26.87,61,181,61,181
Men Checked Shirt,8134442615000,"2,919",236,28.11,264,"3,484",13.19,11.05,295,31,5,10.51,16.13,1.69,"1,966",125,6.36,1.89,"2,718",12,0.44,2.34,0,0,,,,,,,,,,,748,7.58,21.47,6,4.66,3.90,9.05,25.63,44,125,53,150
Men Cargo Pant,8134367019224,"2,984",237,30.63,268,"2,783",10.40,11.14,222,10,3,4.50,30.00,1.35,"1,975",86,4.35,2.76,"1,177",8,0.68,3.83,0,0,,,,,,,,,,,573,9.62,20.59,4,4.86,5.21,8.97,19.21,67,143,89,191
Mens Solid Slim Fit Shirt,8136714551512,621,41,14.65,56,621,11.16,11.16,90,7,1,7.78,14.29,1.11,361,27,7.48,1.52,"1,568",5,0.32,2.93,0,0,,,,,,,,,,,231,8.96,37.14,1,2.69,2.69,8.96,37.14,56,231,56,231
Men Check Shirt,8134421250264,"6,583",513,74.73,588,"7,055",12.00,11.19,608,37,11,6.09,29.73,1.81,"6,540",255,3.90,2.01,"12,782",28,0.22,2.67,0,0,,,,,,,,,,,"1,529",8.34,21.67,12,4.61,4.31,8.93,23.23,49,127,53,139
Men Solid Jeans,8134461685976,710,60,3.54,63,710,11.22,11.22,78,3,1,3.85,33.33,1.28,649,24,3.70,2.49,"1,181",0,,,0,0,,,,,,,,,,,202,8.91,28.49,1,3.51,3.51,8.91,28.49,63,202,63,202
Men Cargo Pant,8134366986456,"3,704",310,18.70,329,"1,852",5.64,11.27,237,4,2,1.69,50.00,0.84,"3,194",123,3.85,2.52,894,6,0.67,3.12,0,0,,,,,,,,,,,637,17.74,34.42,2,2.91,5.81,8.87,17.21,164,319,164,319
Men Nautical Shirt,8140527698136,"5,403",473,3.10,476,"5,310",11.16,11.36,302,20,9,6.62,45.00,2.98,"4,144",88,2.12,5.37,637,2,0.31,1.55,1,640,206.44,,,,,,,,,,756,8.96,14.25,9,7.02,7.14,8.81,14.00,53,84,53,84
Men Slim Fit Luxe Formal Shirt,8211680723160,"1,384",74,44.84,119,"1,384",11.64,11.64,62,9,2,14.52,22.22,3.23,278,28,10.07,2.65,"1,038",8,0.77,5.60,0,0,,,,,,,,,,,160,8.59,11.55,2,8.66,8.66,8.59,11.55,59,80,59,80
Men Solid Jeans,8134461948120,"12,070",986,51.05,"1,037","11,907",11.48,11.64,657,132,18,20.09,13.64,2.74,"10,537",268,2.54,3.68,"5,949",16,0.27,3.19,0,0,,,,,,,,,,,"1,628",8.71,13.67,18,7.31,7.41,8.59,13.49,58,90,58,90
Men Striped Shirt,8140528025816,"4,906",414,4.43,419,"4,816",11.50,11.72,459,45,8,9.80,17.78,1.74,"3,865",242,6.26,1.71,"1,358",4,0.29,1.11,0,0,,,,,,,,,,,"1,202",8.69,24.95,8,4.01,4.08,8.53,24.50,52,150,52,150
Men Checked Chino,8134454182104,"2,494",195,16.21,212,"3,168",14.97,11.78,217,27,4,12.44,14.81,1.84,"1,990",80,4.02,2.44,902,6,0.67,2.70,0,0,,,,,,,,,,,567,6.68,17.90,5,5.59,4.40,8.49,22.74,42,113,53,142
Mens Solid Slim Fit Shirt,8211681476824,692,3,54.53,58,692,11.96,11.96,55,3,1,5.45,33.33,1.82,102,2,1.96,1.67,"2,076",14,0.67,3.90,0,0,,,,,,,,,,,139,8.36,20.05,1,4.99,4.99,8.36,20.05,58,139,58,139
Men Checks Shirt,8134444613848,"2,484",203,2.00,205,"2,453",11.95,12.10,386,19,4,4.92,21.05,1.04,"2,005",109,5.44,1.87,76,1,1.32,2.00,0,0,,,,,,,,,,,978,8.37,39.88,4,2.51,2.54,8.27,39.38,51,245,51,245
Men Denim Jeans,8134415974616,"7,171",560,26.77,587,"9,070",15.46,12.22,516,78,11,15.12,14.10,2.13,"3,824",161,4.21,3.48,"2,584",3,0.12,8.92,1,809,30.22,,,,,,,,,,"1,323",6.47,14.59,14,6.86,5.42,8.18,18.45,42,94,53,120
Men Nautical Shirt,8134374293720,"5,341",415,15.08,430,"5,816",13.53,12.43,246,18,9,7.32,50.00,3.66,"2,829",146,5.16,2.84,"1,997",7,0.35,2.15,0,0,,,,,,,,,,,636,7.39,10.93,10,9.15,8.40,8.05,11.91,43,64,48,71
Mens Crochet Relaxed Fit Shirt,8410959544536,"3,827",117,188.74,305,"4,573",14.97,12.53,402,9,5,2.24,55.56,1.24,"3,454",50,1.45,2.33,"28,217",60,0.21,3.15,0,212,1.12,,,,,,,,,,"1,033",6.68,22.59,6,4.43,3.70,7.98,26.99,51,172,61,207
Men Solid Trouser,8171348164824,718,56,0.73,57,682,12.02,12.65,95,6,1,6.32,16.67,1.05,225,20,8.89,2.80,41,1,2.44,0.73,0,0,,,,,,,,,,,247,8.32,36.21,1,2.76,2.91,7.90,34.40,57,247,57,247
Men Solid Relaxed Fit Zip-Off Convertible Cargo,8401329455320,"1,993",156,1.00,157,"1,893",12.02,12.66,155,5,2,3.23,40.00,1.29,995,40,4.02,3.91,164,1,0.61,1.00,0,0,,,,,,,,,,,427,8.32,22.55,2,4.43,4.67,7.90,21.42,79,213,79,213
Men Shirt,8134411813080,"1,837",122,22.66,145,"1,774",12.24,12.67,118,12,3,10.17,25.00,2.54,"1,288",51,3.96,2.40,880,10,1.14,2.27,0,0,,,,,,,,,,,305,8.17,17.20,3,5.81,6.02,7.89,16.62,48,102,48,102
Men Checked Shirt,8149778006232,"5,899",398,60.98,459,"6,375",13.89,12.86,339,33,10,9.73,30.30,2.95,"2,647",174,6.57,2.29,"7,539",21,0.28,2.90,1,701,11.50,,,,,,,,,,867,7.20,13.59,12,7.36,6.81,7.78,14.69,38,72,46,87
Men Jeans Denim,8134382944472,"4,757",329,35.73,365,"4,654",12.76,13.04,315,20,7,6.35,35.00,2.22,"2,439",120,4.92,2.74,"2,798",16,0.57,2.23,1,725,20.28,,,,,,,,,,781,7.84,16.77,7,5.96,6.09,7.67,16.41,52,112,52,112
Men Quirky Printed Shirt,8134453264600,559,42,0.86,42,559,13.19,13.19,45,3,1,6.67,33.33,2.22,369,24,6.50,1.73,"1,287",2,0.16,0.43,0,0,,,,,,,,,,,111,7.58,19.92,1,5.02,5.02,7.58,19.92,42,111,42,111
Men Solid Shorts,8211686293720,"4,285",223,101.57,325,"4,257",13.11,13.19,220,28,7,12.73,25.00,3.18,"1,503",77,5.12,2.90,"3,014",31,1.03,3.28,0,0,,,,,,,,,,,561,7.63,13.18,7,7.59,7.64,7.58,13.09,46,80,46,80
Men Checks Shirt,8134444384472,621,47,0.28,47,590,12.56,13.23,153,17,1,11.11,5.88,0.65,415,25,6.02,1.87,152,0,,,0,0,,,,,,,,,,,399,7.96,67.58,1,1.48,1.56,7.56,64.20,47,399,47,399
Men Quirky Printed Shirt,8134445793496,559,38,4.64,42,559,13.23,13.23,28,3,1,10.71,33.33,3.57,354,20,5.65,1.88,258,1,0.39,4.64,0,0,,,,,,,,,,,70,7.56,12.45,1,8.03,8.03,7.56,12.45,42,70,42,70
Men Color Block,8137692840152,"1,242",93,,93,"1,242",13.30,13.30,92,3,2,3.26,66.67,2.17,"1,357",54,3.98,1.73,40,0,,,0,0,,,,,,,,,,,230,7.52,18.54,2,5.39,5.39,7.52,18.54,47,115,47,115
Men Checked Shirt,8134448316632,"6,520",452,38.20,490,"6,965",14.21,13.31,369,25,11,6.78,44.00,2.98,"3,511",127,3.62,3.56,"7,018",20,0.28,1.91,0,0,,,,,,,,,,,939,7.04,13.48,13,7.42,6.95,7.51,14.40,38,72,45,85
Men Casual Cuffed Cargo Pant,8149778464984,"2,086",61,92.46,154,"2,015",13.12,13.59,191,29,3,15.18,10.34,1.57,292,18,6.16,3.39,"5,207",30,0.58,3.08,0,0,,,,,,,,,,,503,7.62,24.94,3,4.01,4.15,7.36,24.10,51,168,51,168
Men Jogger,8149924217048,621,44,1.80,45,"1,242",27.31,13.65,34,1,1,2.94,100.00,2.94,239,22,9.21,1.99,"1,801",1,0.06,1.80,0,0,,,,,,,,,,,89,3.66,7.18,2,13.92,6.96,7.33,14.37,23,45,45,89
Men Striped Casual Shirt,8140551225560,"2,187",150,8.69,158,"2,968",18.73,13.80,196,24,3,12.24,12.50,1.53,"1,019",83,8.15,1.80,474,4,0.84,2.17,0,0,,,,,,,,,,,506,5.34,17.06,4,5.86,4.32,7.25,23.15,40,127,53,169
Men Resort Shirt,8134449397976,"1,180",81,4.06,85,"1,152",13.54,13.86,62,5,2,8.06,40.00,3.23,684,31,4.53,2.61,479,2,0.42,2.03,0,0,,,,,,,,,,,158,7.39,13.69,2,7.30,7.48,7.21,13.37,43,79,43,79
Men Printed Shirt,8134452019416,559,28,11.95,40,559,13.89,13.89,106,7,1,6.60,14.29,0.94,269,13,4.83,2.18,885,5,0.56,2.39,0,0,,,,,,,,,,,272,7.20,48.69,1,2.05,2.05,7.20,48.69,40,272,40,272
Men Checked Casual Shirt,8136363966680,"11,240",808,,808,"5,993",7.41,13.90,342,37,13,10.82,35.14,3.80,"16,736",282,1.68,2.87,0,0,,,0,0,,,,,,,,,,,915,13.49,15.27,14,6.55,12.29,7.19,8.14,58,65,62,70
Men Checks Shirt,8134452871384,621,43,,43,621,14.36,14.36,111,6,1,5.41,16.67,0.90,622,34,5.47,1.27,215,0,,,0,0,,,,,,,,,,,281,6.96,45.21,1,2.21,2.21,6.96,45.21,43,281,43,281
Men Printed Casual Shirt,8140556042456,559,25,13.96,39,559,14.51,14.51,54,4,1,7.41,25.00,1.85,210,6,2.86,4.09,918,4,0.44,3.49,0,0,,,,,,,,,,,135,6.89,24.15,1,4.14,4.14,6.89,24.15,39,135,39,135
Men Solid Jeans,8134461456600,"3,266",206,17.39,224,"3,138",14.04,14.61,184,25,5,13.59,20.00,2.72,"1,581",68,4.30,3.03,696,6,0.86,2.90,1,362,20.84,,,,,,,,,,478,7.12,15.25,5,6.56,6.83,6.84,14.65,45,96,45,96
Men Solid Cuffed Cargo Pant,8140546244824,"4,083",269,6.14,275,"4,036",14.65,14.82,317,19,4,5.99,21.05,1.26,"2,120",102,4.81,2.64,629,2,0.32,3.07,0,0,,,,,,,,,,,827,6.83,20.48,4,4.88,4.94,6.75,20.24,69,207,69,207
Women Printed Dress,8192616595672,816,0,54.93,55,816,14.86,14.86,89,3,1,3.37,33.33,1.12,0,0,,,"21,653",26,0.12,2.11,0,0,,,,,,,,,,,227,6.73,27.77,1,3.60,3.60,6.73,27.77,55,227,55,227
Men Solid Chino,8136711438552,"3,774",252,1.67,254,"3,040",11.99,14.89,221,53,6,23.98,11.32,2.71,"1,434",82,5.72,3.07,107,1,0.93,1.67,0,0,,,,,,,,,,,555,8.34,18.27,6,5.47,6.80,6.72,14.71,42,93,42,93
Men Solid Shirt,8134451101912,"8,259",424,126.49,550,"8,328",15.14,15.01,429,38,12,8.86,31.58,2.80,"3,261",208,6.38,2.04,"10,181",57,0.56,2.22,0,0,,,,,,,,,,,"1,102",6.61,13.23,14,7.56,7.49,6.66,13.34,39,79,46,92
Men Solid Shirt,8238618378456,"1,384",91,,91,"1,349",14.83,15.21,40,5,2,12.50,40.00,5.00,510,28,5.49,3.25,0,0,,,0,0,,,,,,,,,,,105,6.74,7.75,2,12.91,13.24,6.57,7.55,45,52,45,52
Men Checked Shirt,8136716419288,621,33,7.50,40,621,15.37,15.37,89,1,1,1.12,100.00,1.12,271,8,2.95,4.11,"1,447",3,0.21,2.50,0,0,,,,,,,,,,,227,6.51,36.53,1,2.74,2.74,6.51,36.53,40,227,40,227
Men Striped Shirt,8149929132248,"1,341",84,3.23,87,"2,019",23.17,15.39,59,3,2,5.08,66.67,3.39,848,39,4.60,2.15,119,2,1.68,1.61,0,0,,,,,,,,,,,144,4.32,7.14,3,14.00,9.30,6.50,10.76,29,48,44,72
Women Corduroy Knee Length Dungaree Skirt,8149734752472,692,0,44.78,45,657,14.68,15.45,24,2,1,8.33,50.00,4.17,0,0,,,"2,378",24,1.01,1.87,1,707,15.80,,,,,,,,,,63,6.81,9.53,1,10.49,11.04,6.47,9.06,45,63,45,63
Men Casual Check Shirt,8134389629144,"1,739",105,6.93,112,"1,090",9.74,15.53,123,13,3,10.57,23.08,2.44,674,46,6.82,2.28,223,2,0.90,3.46,0,0,,,,,,,,,,,313,10.27,28.70,3,3.48,5.56,6.44,17.99,37,104,37,104
Men Checked Shirt,8211690488024,"1,118",58,13.50,72,"1,062",14.78,15.55,66,6,2,9.09,33.33,3.03,513,18,3.51,3.24,"2,169",6,0.28,2.25,1,639,47.32,,,,,,,,,,181,6.77,17.04,2,5.87,6.18,6.43,16.18,36,90,36,90
Men Color Block Windcheater,8149928181976,887,0,56.04,56,843,15.04,15.83,35,3,1,8.57,33.33,2.86,0,0,,,"1,887",24,1.27,2.33,0,0,,,,,,,,,,,90,6.65,10.65,1,9.39,9.89,6.32,10.11,56,90,56,90
Men Button Fly Trouser,8134365053144,"2,285",85,56.79,142,"2,248",15.85,16.10,167,16,3,9.58,18.75,1.80,705,32,4.54,2.66,"1,640",14,0.85,4.06,0,0,,,,,,,,,,,432,6.31,19.23,3,5.20,5.29,6.21,18.92,47,144,47,144
Men Solid Korean Loose Fit Shirt,8337611129048,798,49,,49,758,15.42,16.23,358,7,1,1.96,14.29,0.28,665,28,4.21,1.76,0,0,,,0,0,,,,,,,,,,,928,6.49,122.46,1,0.82,0.86,6.16,116.34,49,928,49,928
